state_alpha,county_name,county_ansi,state_fips_code,year,"AG SERVICES, CUSTOMWORK - EXPENSE, MEASURED IN $","AG SERVICES, MACHINERY RENTAL - EXPENSE, MEASURED IN $","AG SERVICES, OTHER - EXPENSE, MEASURED IN $","AG SERVICES, UTILITIES - EXPENSE, MEASURED IN $","ANIMAL TOTALS - EXPENSE, MEASURED IN $","ANIMAL TOTALS, BREEDING - EXPENSE, MEASURED IN $","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","DEPRECIATION - EXPENSE, MEASURED IN $","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $","FEED - EXPENSE, MEASURED IN $","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","INTEREST - EXPENSE, MEASURED IN $","INTEREST, NON-REAL ESTATE - EXPENSE, MEASURED IN $","INTEREST, REAL ESTATE - EXPENSE, MEASURED IN $","LABOR, CONTRACT - EXPENSE, MEASURED IN $","LABOR, HIRED - EXPENSE, MEASURED IN $","LABOR, HIRED, GE 150 DAYS - EXPENSE, MEASURED IN $","LABOR, HIRED, LT 150 DAYS - EXPENSE, MEASURED IN $","RENT, CASH, LAND & BUILDINGS - EXPENSE, MEASURED IN $","SEEDS & PLANTS TOTALS - EXPENSE, MEASURED IN $","SUPPLIES & REPAIRS, (EXCL LUBRICANTS) - EXPENSE, MEASURED IN $","TAXES, PROPERTY, REAL ESTATE & NON-REAL ESTATE, (EXCL PAID BY LANDLORD) - EXPENSE, MEASURED IN $","ANIMAL TOTALS, (EXCL BREEDING) - EXPENSE, MEASURED IN $"
GA,POLK,233,13,2012,308000,7000,571000,359000,3828000,482000,181000,1465000,32564000,21470000,725000,1007000,705000,100000,605000,96000,987000,433000,320000,437000,257000,825000,804000,3346000
GA,PULASKI,235,13,2007,275000,137000,992000,540000,259000,17000,2201000,1845000,17518000,1242000,2467000,1608000,1121000,140000,981000,131000,1626000,642000,133000,1118000,1614000,1519000,670000,242000
GA,PULASKI,235,13,2012,2264000,794000,1992000,2020000,3155000,20000,6239000,5898000,57929000,12424000,6692000,3017000,2208000,410000,1797000,268000,5364000,964000,209000,3402000,3346000,3980000,765000,3135000
GA,PUTNAM,237,13,2007,344000,NA,2335000,968000,5429000,NA,202000,2978000,35098000,16585000,478000,1054000,732000,142000,590000,NA,3578000,2127000,115000,290000,165000,1822000,612000,NA
GA,PUTNAM,237,13,2012,665000,NA,5985000,955000,2736000,1363000,NA,1917000,41320000,18676000,893000,914000,605000,148000,457000,887000,5215000,2145000,40000,436000,395000,2381000,300000,1373000
GA,QUITMAN,239,13,2007,NA,NA,35000,20000,37000,37000,NA,70000,1419000,32000,NA,90000,154000,NA,NA,NA,NA,NA,NA,NA,NA,76000,134000,NA
GA,QUITMAN,239,13,2012,NA,NA,26000,NA,NA,NA,NA,NA,1453000,111000,NA,147000,NA,NA,NA,NA,NA,NA,6000,NA,NA,41000,86000,NA
GA,RABUN,241,13,2007,NA,NA,594000,217000,601000,63000,216000,291000,6626000,2765000,193000,358000,170000,65000,105000,107000,806000,NA,55000,41000,121000,252000,176000,538000
GA,RABUN,241,13,2012,164000,134000,358000,362000,1894000,216000,509000,1573000,18863000,9497000,339000,600000,333000,30000,303000,290000,2305000,434000,153000,910000,356000,588000,224000,1678000
GA,RANDOLPH,243,13,2007,524000,113000,948000,464000,313000,147000,3030000,1457000,19581000,415000,3049000,2226000,1556000,553000,1003000,31000,1196000,246000,87000,1693000,1670000,1738000,614000,166000
GA,RANDOLPH,243,13,2012,582000,632000,1574000,1550000,286000,191000,4984000,3872000,35448000,824000,5672000,3483000,1617000,573000,1043000,92000,3010000,461000,694000,3156000,4113000,2928000,945000,95000
GA,RICHMOND,245,13,2007,4000,9000,125000,37000,184000,29000,41000,183000,2672000,382000,209000,241000,159000,31000,129000,14000,203000,45000,29000,16000,490000,353000,203000,155000
GA,RICHMOND,245,13,2012,NA,NA,233000,94000,192000,8000,61000,248000,2518000,371000,199000,140000,206000,59000,146000,41000,340000,NA,97000,44000,176000,178000,201000,184000
GA,ROCKDALE,247,13,2007,3000,5000,157000,86000,78000,53000,13000,108000,1842000,297000,91000,128000,212000,41000,171000,16000,219000,176000,32000,27000,18000,186000,307000,24000
GA,ROCKDALE,247,13,2012,NA,NA,137000,66000,74000,10000,NA,130000,2117000,710000,130000,132000,82000,11000,71000,132000,252000,246000,NA,NA,38000,131000,205000,64000
GA,SCHLEY,249,13,2007,39000,4000,2551000,614000,3416000,7000,103000,498000,27390000,16254000,176000,1056000,637000,194000,443000,33000,655000,69000,121000,275000,168000,1107000,304000,3409000
GA,SCHLEY,249,13,2012,253000,NA,837000,303000,1865000,NA,232000,606000,16235000,9516000,341000,564000,531000,99000,432000,NA,390000,NA,78000,195000,274000,474000,366000,NA
GA,SCREVEN,251,13,2007,471000,228000,2378000,665000,493000,294000,3047000,2463000,29814000,1255000,4264000,2455000,1899000,744000,1155000,692000,3132000,1464000,304000,1535000,2050000,3596000,1653000,199000
GA,SCREVEN,251,13,2012,1004000,921000,2924000,1579000,508000,294000,6722000,6332000,47900000,1368000,8629000,3569000,3923000,900000,3023000,958000,2813000,1162000,535000,2285000,4364000,4475000,1859000,214000
GA,SEMINOLE,253,13,2007,1012000,343000,2834000,1124000,694000,330000,6111000,2885000,42186000,2301000,7526000,3547000,2428000,933000,1495000,174000,3709000,2915000,141000,3746000,2729000,3118000,790000,364000
GA,SEMINOLE,253,13,2012,1174000,283000,2152000,1571000,NA,149000,8248000,3904000,49194000,2183000,8486000,3906000,1808000,525000,1283000,NA,3642000,2436000,251000,4693000,4123000,3108000,739000,NA
GA,SPALDING,255,13,2007,46000,28000,337000,225000,306000,20000,56000,651000,7898000,2756000,416000,473000,984000,117000,868000,80000,268000,244000,22000,38000,68000,861000,956000,286000
GA,SPALDING,255,13,2012,NA,NA,257000,276000,518000,136000,90000,785000,7816000,2449000,526000,572000,660000,133000,527000,293000,696000,117000,132000,82000,104000,503000,711000,382000
GA,STEPHENS,257,13,2007,50000,NA,3032000,849000,18035000,203000,431000,1194000,39774000,11437000,353000,1170000,1203000,430000,773000,65000,528000,404000,59000,260000,NA,1112000,871000,17832000
GA,STEPHENS,257,13,2012,510000,352000,2108000,1670000,36131000,684000,126000,2810000,74435000,25752000,214000,1654000,1129000,57000,1073000,95000,2282000,1903000,287000,70000,57000,1713000,572000,35447000
GA,STEWART,259,13,2007,NA,NA,405000,150000,296000,13000,408000,820000,6187000,NA,401000,545000,295000,77000,218000,45000,704000,647000,NA,290000,254000,546000,411000,283000
GA,STEWART,259,13,2012,215000,NA,364000,315000,NA,NA,1301000,640000,11135000,1789000,1717000,980000,505000,21000,484000,284000,418000,227000,191000,677000,1217000,537000,453000,NA
GA,SUMTER,261,13,2007,607000,454000,3795000,1427000,2248000,160000,5359000,6303000,61036000,10964000,6482000,6065000,2642000,777000,1865000,972000,5884000,2957000,177000,4388000,3532000,4738000,1477000,2088000
GA,SUMTER,261,13,2012,1696000,1769000,7064000,2780000,2947000,705000,10438000,8574000,103522000,19342000,11068000,9249000,4970000,2007000,2963000,1761000,7836000,2887000,355000,7850000,7095000,5792000,1863000,2241000
GA,TALBOT,263,13,2007,14000,29000,75000,50000,40000,14000,25000,347000,2352000,303000,208000,338000,288000,36000,253000,29000,119000,NA,81000,52000,49000,425000,310000,27000
GA,TALBOT,263,13,2012,24000,18000,117000,61000,85000,74000,27000,193000,2238000,320000,234000,147000,389000,47000,342000,29000,199000,NA,68000,111000,32000,147000,299000,11000
GA,TALIAFERRO,265,13,2007,82000,NA,366000,87000,NA,10000,36000,267000,4211000,2260000,173000,241000,31000,12000,19000,NA,201000,192000,8000,30000,17000,197000,128000,NA
GA,TALIAFERRO,265,13,2012,142000,NA,191000,188000,505000,NA,NA,318000,6419000,3716000,167000,219000,149000,11000,138000,133000,428000,365000,NA,49000,31000,305000,158000,NA
GA,TATTNALL,267,13,2007,492000,550000,12041000,3611000,30443000,342000,3629000,6442000,153829000,58344000,6764000,8588000,3689000,787000,2901000,1411000,11945000,3235000,1541000,1652000,2661000,6049000,1963000,30101000
GA,TATTNALL,267,13,2012,6566000,2119000,4462000,3995000,17340000,2876000,6515000,9925000,184118000,87953000,7338000,6481000,4194000,1387000,2807000,2984000,20195000,NA,NA,2353000,3966000,6141000,1517000,14464000
GA,TAYLOR,269,13,2007,42000,9000,1782000,254000,1729000,57000,1447000,1625000,20724000,5559000,1472000,1092000,695000,208000,488000,NA,1484000,266000,168000,NA,758000,1953000,643000,1671000
GA,TAYLOR,269,13,2012,368000,NA,1403000,491000,1250000,99000,1141000,1071000,20805000,6185000,1373000,1573000,542000,111000,431000,NA,1207000,164000,66000,1056000,579000,1561000,545000,1150000
GA,TELFAIR,271,13,2007,33000,71000,218000,219000,98000,72000,528000,859000,8477000,336000,1579000,1083000,539000,66000,473000,299000,715000,54000,447000,342000,495000,1026000,895000,27000
GA,TELFAIR,271,13,2012,216000,66000,350000,317000,283000,119000,397000,715000,7304000,751000,1137000,661000,439000,143000,297000,120000,497000,281000,141000,349000,417000,541000,763000,164000
GA,TERRELL,273,13,2007,394000,234000,1756000,822000,665000,NA,4865000,3057000,33056000,281000,5831000,3706000,1846000,348000,1498000,279000,1937000,792000,115000,3417000,3151000,2763000,1109000,NA
GA,TERRELL,273,13,2012,976000,1045000,3936000,1781000,NA,127000,6035000,5980000,47036000,997000,7894000,4137000,1880000,288000,1592000,NA,2818000,1223000,276000,4107000,5870000,2926000,1492000,NA
GA,THOMAS,275,13,2007,762000,146000,4075000,1138000,5443000,119000,5487000,5119000,63523000,12784000,7317000,3931000,2890000,691000,2199000,546000,7146000,2970000,168000,2420000,3258000,4101000,2078000,5324000
GA,THOMAS,275,13,2012,1286000,329000,6280000,1731000,2767000,586000,8526000,7200000,77929000,10017000,11596000,6775000,2632000,744000,1889000,715000,7556000,5468000,412000,4534000,5610000,5511000,2063000,2182000
GA,TIFT,277,13,2007,730000,498000,3223000,1532000,288000,199000,7413000,4274000,56295000,1146000,8016000,5303000,2806000,749000,2057000,1791000,10254000,3903000,227000,3404000,4088000,4546000,1258000,89000
GA,TIFT,277,13,2012,1035000,416000,2734000,1998000,216000,190000,7004000,5557000,49668000,1839000,8679000,4365000,1823000,509000,1314000,1419000,5225000,1466000,557000,3203000,4890000,3657000,1166000,27000
GA,TOOMBS,279,13,2007,666000,66000,2315000,858000,2147000,281000,1950000,1740000,32171000,3404000,3563000,1965000,2117000,626000,1491000,844000,5665000,1191000,525000,1207000,1429000,2815000,1158000,1867000
GA,TOOMBS,279,13,2012,429000,121000,2318000,1669000,3251000,2656000,3784000,3357000,45349000,7706000,4328000,2516000,1624000,370000,1254000,4439000,6504000,1010000,318000,935000,2537000,2231000,957000,595000
GA,TOWNS,281,13,2007,NA,NA,242000,134000,1479000,NA,66000,387000,3953000,258000,250000,251000,283000,80000,203000,86000,262000,81000,23000,28000,115000,306000,165000,NA
GA,TOWNS,281,13,2012,31000,13000,638000,158000,187000,94000,135000,319000,4769000,777000,335000,412000,147000,16000,131000,364000,582000,275000,114000,194000,186000,464000,147000,93000
GA,TREUTLEN,283,13,2007,NA,NA,669000,303000,28000,12000,305000,1174000,6965000,153000,879000,920000,578000,46000,532000,260000,1154000,NA,NA,158000,482000,702000,351000,16000
GA,TREUTLEN,283,13,2012,147000,2000,326000,276000,17000,6000,320000,803000,5367000,275000,699000,520000,538000,71000,467000,17000,614000,NA,NA,216000,470000,635000,293000,10000
GA,TROUP,285,13,2007,61000,4000,373000,178000,341000,228000,56000,624000,5949000,1151000,572000,375000,509000,90000,418000,39000,607000,430000,72000,233000,103000,660000,689000,113000
GA,TROUP,285,13,2012,53000,22000,404000,190000,242000,94000,46000,732000,5269000,1682000,206000,431000,458000,39000,419000,14000,306000,174000,NA,64000,152000,449000,551000,149000
GA,TURNER,287,13,2007,684000,450000,2402000,1148000,2681000,297000,4773000,3424000,38933000,4058000,5120000,3212000,2019000,978000,1040000,237000,2870000,998000,382000,3570000,2131000,2584000,996000,2384000
GA,TURNER,287,13,2012,976000,505000,3454000,1480000,1053000,265000,5690000,4871000,41772000,4898000,5278000,3127000,2075000,427000,1648000,924000,2119000,658000,79000,2244000,3411000,3743000,796000,788000
GA,TWIGGS,289,13,2007,78000,11000,243000,83000,37000,26000,769000,531000,4626000,199000,853000,574000,231000,73000,158000,NA,NA,79000,33000,310000,279000,468000,359000,11000
GA,TWIGGS,289,13,2012,54000,181000,462000,233000,129000,122000,1059000,586000,7642000,360000,1695000,742000,280000,112000,168000,37000,327000,NA,156000,359000,835000,564000,324000,7000
GA,UNION,291,13,2007,36000,69000,904000,613000,NA,105000,211000,1372000,15051000,1059000,381000,1236000,915000,287000,628000,182000,1036000,268000,48000,52000,NA,1554000,663000,NA
GA,UNION,291,13,2012,44000,9000,862000,445000,NA,179000,206000,878000,13474000,2499000,489000,657000,628000,93000,534000,545000,NA,289000,217000,132000,120000,727000,459000,NA
GA,UPSON,293,13,2007,18000,68000,2215000,565000,2787000,58000,72000,1218000,24707000,13450000,575000,904000,719000,157000,562000,107000,1021000,401000,37000,109000,258000,1178000,661000,2728000
GA,UPSON,293,13,2012,212000,51000,1300000,534000,2579000,192000,180000,966000,23089000,11913000,376000,747000,752000,121000,631000,365000,1920000,583000,NA,132000,379000,1044000,603000,2388000
GA,WALKER,295,13,2007,131000,26000,7496000,1151000,9145000,334000,171000,3440000,74513000,44805000,876000,2056000,3073000,259000,2814000,569000,1339000,420000,195000,504000,263000,1842000,1067000,8811000
GA,WALKER,295,13,2012,1099000,70000,2138000,1391000,13239000,1246000,853000,5991000,93750000,58900000,1321000,2576000,2309000,131000,2178000,351000,3268000,1529000,467000,1356000,980000,2482000,1415000,11993000
GA,WALTON,297,13,2007,236000,15000,3082000,440000,5603000,574000,177000,1824000,31197000,10713000,1020000,1151000,1249000,235000,1013000,161000,2413000,1753000,164000,224000,1492000,1496000,1725000,5028000
GA,WALTON,297,13,2012,323000,21000,915000,639000,5674000,578000,262000,1569000,29790000,11523000,1403000,1098000,834000,149000,685000,222000,3111000,1936000,275000,327000,749000,1361000,1328000,5096000
GA,WARE,299,13,2007,132000,49000,2038000,442000,2104000,56000,1228000,912000,17275000,3397000,1418000,1134000,564000,73000,490000,222000,1636000,826000,135000,422000,618000,1274000,598000,2048000
GA,WARE,299,13,2012,181000,84000,4200000,918000,1230000,327000,2096000,2136000,27863000,3542000,2779000,1724000,1151000,147000,1004000,781000,2941000,1914000,445000,1001000,1991000,2469000,777000,904000
GA,WARREN,301,13,2007,46000,23000,287000,131000,123000,53000,94000,430000,5524000,1402000,629000,500000,180000,30000,150000,22000,642000,447000,21000,239000,143000,685000,377000,70000
GA,WARREN,301,13,2012,73000,19000,275000,154000,153000,128000,189000,292000,5511000,1075000,641000,530000,319000,88000,231000,113000,517000,261000,146000,295000,293000,540000,323000,26000
GA,WASHINGTON,303,13,2007,408000,44000,751000,243000,230000,129000,702000,1517000,11701000,909000,2325000,1138000,1002000,377000,624000,147000,576000,218000,93000,333000,590000,1362000,941000,101000
GA,WASHINGTON,303,13,2012,513000,386000,735000,1250000,756000,366000,1589000,2052000,25062000,3259000,3895000,2301000,2364000,493000,1871000,200000,1105000,200000,197000,1556000,1545000,2470000,1139000,390000
GA,WAYNE,305,13,2007,312000,53000,728000,422000,2927000,127000,924000,1269000,22036000,5538000,1639000,1602000,1744000,124000,1620000,831000,1688000,NA,NA,335000,874000,1668000,749000,2800000
GA,WAYNE,305,13,2012,381000,363000,1589000,638000,2349000,1344000,2170000,1805000,33167000,10006000,3573000,2374000,1168000,150000,1018000,785000,1413000,586000,283000,2138000,1975000,1494000,752000,1005000
GA,WEBSTER,307,13,2007,67000,NA,520000,195000,NA,48000,904000,571000,9852000,668000,1016000,891000,612000,108000,504000,71000,NA,205000,NA,287000,401000,734000,465000,NA
GA,WEBSTER,307,13,2012,104000,NA,665000,411000,NA,57000,1474000,771000,10025000,854000,1079000,1058000,444000,154000,290000,NA,513000,394000,NA,355000,833000,679000,415000,NA
GA,WHEELER,309,13,2007,20000,NA,190000,231000,119000,104000,408000,1181000,5605000,151000,1041000,484000,357000,87000,270000,NA,297000,NA,77000,659000,349000,594000,469000,15000
GA,WHEELER,309,13,2012,252000,38000,306000,266000,104000,81000,628000,564000,7624000,288000,1660000,682000,694000,96000,598000,90000,448000,NA,198000,394000,584000,657000,533000,23000
GA,WHITE,311,13,2007,132000,195000,4841000,1293000,14545000,311000,396000,2028000,60389000,29878000,383000,1943000,1581000,229000,1352000,367000,1775000,1269000,128000,314000,90000,1903000,752000,14234000
GA,WHITE,311,13,2012,593000,92000,1941000,1352000,12313000,2059000,208000,1835000,66009000,42149000,355000,1795000,777000,120000,657000,286000,1500000,498000,242000,444000,207000,1334000,664000,10254000
GA,WHITFIELD,313,13,2007,39000,62000,5986000,2449000,38051000,398000,877000,3642000,95609000,33799000,451000,3178000,2547000,916000,1632000,181000,2589000,2212000,161000,175000,107000,3421000,1697000,37653000
GA,WHITFIELD,313,13,2012,872000,25000,1910000,3081000,48943000,1411000,251000,3731000,123062000,55353000,371000,3303000,1802000,341000,1461000,669000,1605000,471000,287000,444000,185000,3251000,998000,47532000
GA,WILCOX,315,13,2007,298000,133000,4238000,1107000,3283000,104000,4381000,3062000,54312000,16347000,4808000,3646000,2420000,883000,1537000,866000,2739000,1495000,330000,2433000,3076000,3621000,917000,3178000
GA,WILCOX,315,13,2012,1205000,371000,2360000,1657000,4386000,348000,7244000,5089000,76036000,22038000,9582000,4393000,2191000,454000,1737000,1262000,2604000,1134000,473000,4550000,7851000,3349000,993000,4037000
GA,WILKES,317,13,2007,154000,40000,2096000,531000,3207000,302000,102000,2886000,28278000,14229000,979000,1039000,1386000,280000,1106000,123000,1450000,369000,111000,206000,369000,1320000,1046000,2905000
GA,WILKES,317,13,2012,626000,46000,1406000,977000,6722000,1167000,295000,2111000,52497000,32151000,911000,1486000,1455000,310000,1145000,140000,2208000,811000,162000,791000,556000,1629000,1098000,5554000
GA,WILKINSON,319,13,2007,2000,2000,250000,46000,346000,30000,83000,334000,3883000,1464000,336000,248000,213000,37000,176000,24000,76000,NA,NA,95000,47000,365000,284000,315000
GA,WILKINSON,319,13,2012,60000,NA,134000,97000,385000,NA,87000,281000,4085000,1849000,408000,214000,151000,6000,145000,NA,110000,23000,87000,79000,86000,191000,200000,NA
GA,WORTH,321,13,2007,1259000,800000,3533000,1113000,1283000,383000,9841000,6321000,63727000,4220000,9149000,5306000,3334000,931000,2402000,400000,6250000,1332000,553000,5763000,4772000,4970000,1735000,900000
GA,WORTH,321,13,2012,1281000,718000,7988000,2873000,1839000,502000,17467000,10774000,110889000,7869000,17832000,8457000,3935000,1389000,2546000,1711000,5296000,2921000,1115000,11262000,12535000,7667000,2157000,1337000
HI,HAWAII,001,15,2007,991000,1050000,22068000,8078000,1907000,847000,6441000,17683000,191104000,9906000,11242000,9776000,9662000,1918000,7744000,8017000,62285000,28639000,3801000,9018000,8315000,16585000,5764000,1060000
HI,HAWAII,001,15,2012,3067000,2118000,23075000,12977000,2277000,1227000,7442000,24881000,230596000,29043000,11299000,11898000,7897000,2313000,5584000,13586000,68254000,NA,NA,11006000,4674000,15990000,5993000,1050000
HI,HONOLULU,003,15,2007,589000,284000,9665000,6090000,449000,54000,4668000,6233000,108227000,9511000,5627000,4091000,1405000,414000,991000,899000,45084000,17076000,476000,4359000,5043000,8996000,1468000,395000
HI,HONOLULU,003,15,2012,547000,673000,10846000,8941000,588000,40000,9164000,6803000,163111000,8496000,12663000,6386000,2416000,482000,1933000,2312000,74515000,34251000,2308000,6517000,5676000,11176000,2195000,547000
HI,KAUAI,007,15,2007,72000,344000,3550000,1448000,386000,134000,2121000,2806000,57701000,1591000,4964000,3261000,1752000,637000,1115000,2795000,23815000,11497000,781000,3425000,783000,5923000,1472000,252000
HI,KAUAI,007,15,2012,47000,283000,2031000,2278000,336000,58000,4295000,2799000,69648000,3011000,7196000,3382000,908000,332000,576000,4049000,27868000,NA,NA,4670000,2941000,5202000,1152000,278000
HI,MAUI & KALAWAO,009,15,2007,138000,996000,11815000,9857000,601000,100000,4008000,19705000,129617000,3669000,7976000,7316000,2019000,919000,1100000,2530000,47311000,26190000,819000,3409000,3810000,21992000,2170000,501000
HI,MAUI & KALAWAO,009,15,2012,341000,593000,12157000,3978000,679000,184000,12092000,16103000,195907000,3261000,15426000,11492000,1988000,577000,1410000,1670000,99270000,59091000,1321000,2037000,5534000,23095000,2294000,495000
IA,ADAIR,001,19,2007,1415000,888000,5142000,1892000,14532000,1736000,7518000,10326000,98309000,12981000,9025000,4443000,6971000,2753000,4218000,452000,4438000,701000,243000,11574000,7272000,6597000,3169000,12796000
IA,ADAIR,001,19,2012,3002000,1696000,11477000,2839000,18161000,1796000,10427000,14660000,162930000,26093000,17753000,6927000,7702000,2264000,5438000,869000,7110000,1378000,647000,19292000,16056000,9635000,3890000,16365000
IA,ADAMS,003,19,2007,781000,90000,2916000,1004000,12413000,1179000,2624000,6744000,59578000,9752000,4876000,3435000,3695000,1313000,2382000,236000,1923000,699000,188000,5759000,3924000,4017000,2133000,11234000
IA,ADAMS,003,19,2012,1382000,431000,3910000,1469000,10394000,1567000,5573000,10755000,87183000,16919000,8752000,4217000,3986000,1167000,2819000,229000,3132000,1139000,448000,10485000,9061000,4939000,2304000,8827000
IA,ALLAMAKEE,005,19,2007,2010000,471000,6326000,2164000,18080000,2888000,3272000,10448000,103386000,21372000,6873000,5820000,6754000,1929000,4826000,302000,5223000,2557000,497000,7245000,4727000,9126000,3622000,15192000
IA,ALLAMAKEE,005,19,2012,4195000,214000,11042000,3121000,22405000,5072000,7315000,15856000,172647000,38045000,16238000,9133000,9303000,2398000,6904000,390000,7559000,3088000,536000,14591000,12322000,12336000,4439000,17332000
IA,APPANOOSE,007,19,2007,621000,49000,1667000,666000,2568000,NA,1631000,5346000,28214000,2072000,3934000,2208000,2416000,707000,1709000,229000,653000,90000,172000,2373000,2277000,2749000,2100000,NA
IA,APPANOOSE,007,19,2012,649000,161000,2191000,1109000,2373000,1513000,2595000,5394000,44241000,5073000,7044000,2613000,3771000,1187000,2584000,416000,1639000,228000,450000,5088000,4204000,3201000,2114000,861000
IA,AUDUBON,009,19,2007,1243000,403000,6398000,2091000,36810000,2264000,5366000,12186000,154392000,34899000,9271000,6016000,7974000,2990000,4983000,554000,5732000,1878000,413000,18451000,9190000,6938000,3056000,34547000
IA,AUDUBON,009,19,2012,2482000,752000,9678000,2913000,43302000,1487000,9513000,19107000,241230000,57813000,21242000,8565000,9128000,2586000,6542000,377000,6467000,1563000,817000,35940000,18852000,10247000,3959000,41815000
IA,BENTON,011,19,2007,4777000,612000,8713000,2451000,35477000,663000,10247000,25146000,178952000,17456000,19399000,8106000,10279000,3987000,6291000,207000,5925000,2019000,835000,26891000,12480000,11231000,4702000,34814000
IA,BENTON,011,19,2012,7388000,2004000,14528000,3706000,30182000,2145000,17683000,31374000,291122000,40844000,38585000,10363000,11862000,3838000,8025000,597000,8257000,2993000,1189000,55034000,28359000,15369000,6362000,28037000
IA,BLACK HAWK,013,19,2007,2380000,517000,6322000,1857000,16665000,796000,7201000,15471000,134786000,20172000,14060000,8174000,8171000,3119000,5053000,293000,4797000,775000,794000,21280000,10877000,8067000,3954000,15868000
IA,BLACK HAWK,013,19,2012,5092000,1761000,9398000,2305000,25802000,1624000,12677000,22917000,240518000,44686000,31500000,8503000,8542000,3043000,5498000,467000,7700000,2072000,1077000,43871000,22110000,11431000,4673000,24178000
IA,BOONE,015,19,2007,1941000,743000,6038000,2275000,10373000,850000,7293000,13069000,118926000,7946000,17714000,7161000,7736000,3160000,4576000,490000,5809000,2012000,676000,18652000,12520000,8824000,3413000,9523000
IA,BOONE,015,19,2012,2890000,2398000,8794000,2673000,21924000,832000,12869000,19395000,199199000,25249000,32245000,7703000,8320000,2250000,6069000,403000,6280000,2324000,908000,29600000,23349000,10428000,4076000,21092000
IA,BREMER,017,19,2007,1522000,615000,5782000,1904000,17408000,1230000,6253000,12226000,122177000,21099000,14153000,6506000,7741000,2814000,4928000,332000,2525000,1179000,438000,16127000,9672000,6862000,3676000,16178000
IA,BREMER,017,19,2012,3263000,551000,10073000,2808000,17698000,1203000,13074000,23881000,224592000,40758000,31522000,9450000,13673000,3453000,10220000,430000,4536000,1561000,1242000,35495000,23558000,12311000,5393000,16495000
IA,BUCHANAN,019,19,2007,2047000,1244000,10664000,3315000,31808000,1673000,9159000,21312000,204007000,39312000,21025000,10169000,13901000,5934000,7966000,327000,5314000,1216000,876000,25385000,14489000,10713000,5135000,30135000
IA,BUCHANAN,019,19,2012,3616000,3036000,12757000,4881000,36265000,1574000,15844000,30757000,310648000,61384000,41049000,12706000,14533000,4655000,9878000,679000,7861000,3523000,1293000,44883000,29350000,15454000,6349000,34691000
IA,BUENA VISTA,021,19,2007,2133000,442000,9087000,3678000,70318000,1137000,7500000,19129000,277747000,93494000,17609000,8547000,8644000,3936000,4707000,1060000,5905000,1051000,668000,22503000,13618000,9412000,3795000,69181000
IA,BUENA VISTA,021,19,2012,6553000,1369000,18503000,4428000,64027000,1165000,14935000,33957000,386529000,133302000,32000000,11612000,10973000,4059000,6914000,1009000,8880000,2251000,1685000,36351000,24819000,13428000,4341000,62862000
IA,BUTLER,023,19,2007,2114000,607000,10801000,3497000,30093000,774000,8682000,15114000,195634000,44045000,17493000,8162000,9799000,4308000,5491000,1054000,5866000,947000,662000,27452000,12452000,9298000,4219000,29319000
IA,BUTLER,023,19,2012,4168000,1832000,12739000,4598000,38725000,1352000,15920000,21109000,316191000,79661000,33563000,10184000,12003000,4113000,7889000,2060000,9713000,2077000,1099000,45344000,27003000,13226000,5453000,37372000
IA,CALHOUN,025,19,2007,1491000,691000,8577000,2149000,45755000,1137000,7101000,14713000,189456000,39915000,19289000,8652000,8229000,3402000,4827000,600000,4590000,1258000,869000,18360000,12531000,7913000,3616000,44617000
IA,CALHOUN,025,19,2012,4876000,1557000,11926000,3415000,42842000,1154000,13841000,23656000,278045000,61079000,35096000,10351000,8716000,2612000,6104000,479000,6067000,1181000,1046000,34905000,26479000,12233000,4183000,41689000
IA,CARROLL,027,19,2007,2837000,1116000,12619000,3560000,129507000,2524000,7356000,20378000,353280000,97697000,16020000,9895000,12553000,6194000,6359000,308000,8634000,3193000,1056000,22712000,11933000,12749000,3782000,126983000
IA,CARROLL,027,19,2012,6483000,778000,17013000,5117000,123429000,3004000,13033000,30953000,448801000,124081000,35420000,12168000,13614000,3439000,10174000,636000,9708000,5465000,1512000,39965000,26991000,15350000,5014000,120425000
IA,CASS,029,19,2007,2178000,554000,5943000,1932000,24745000,1056000,5245000,12385000,117849000,16495000,10007000,5813000,6279000,2815000,3464000,494000,4201000,2061000,605000,14713000,8936000,6879000,3438000,23690000
IA,CASS,029,19,2012,3223000,524000,11368000,2343000,26079000,1973000,9200000,16949000,188885000,44525000,16697000,6620000,6825000,2567000,4258000,299000,5740000,1051000,658000,25770000,16255000,9595000,3823000,24106000
IA,CEDAR,031,19,2007,3319000,893000,10237000,2552000,23726000,1191000,9635000,13231000,164653000,18153000,19570000,8010000,9632000,4595000,5038000,335000,5456000,2761000,528000,27293000,12747000,8478000,4615000,22535000
IA,CEDAR,031,19,2012,3819000,1301000,11842000,3551000,26389000,2269000,15220000,25468000,235816000,34616000,30355000,10105000,10157000,3772000,6386000,557000,6808000,2474000,704000,42966000,21904000,10878000,5347000,24120000
IA,CERRO GORDO,033,19,2007,2407000,990000,7970000,1809000,10767000,328000,8516000,12532000,134478000,12051000,20645000,7351000,6475000,2946000,3529000,177000,2797000,450000,628000,26620000,14731000,7280000,3893000,10439000
